index,w_out,w_effective,LCOH
0,5421.957473806947,5269.550125200676,0.011328994840211153
6,3272.7028102554086,3240.9532753590906,0.01383601548722751
8,-2768.6340221822934,1e-06,30735203.52546483
9,6441.303475902158,6371.383462907893,0.004823945019852457
10,6717.30502180512,6636.493092186018,0.004631241696258716
11,6633.555081820779,6556.144938634179,0.004687999397991923
2,5443.349435312187,5289.112521454625,0.011287093238510649
3,5207.032750339933,5072.158600143153,0.011769881599709363
7,4406.984656184841,4324.843783871391,0.010007458185353252
5,6501.709809014416,6430.429557285582,0.009283782000378925
4,5308.915989712222,5165.918794164462,0.01155626105583957
1,9994.503310955006,8825.21838437381,0.006764558516119757
17,952.1410869640238,969.7873491717052,0.01745191731237593
19,935.5707113187584,953.2471383905126,0.017754733213161133
21,888.5157644223546,888.3050420070791,0.01905274407774662
16,1031.9519400247407,1049.347606745495,0.016128734195929494
15,6447.153580639196,6377.012036735295,0.004819687237284828
14,8097.002023547904,7949.2413306137105,0.0056410263377658885
18,1042.4862228306483,1059.8478797569787,0.015968941346765384
20,1030.796233268055,1048.1712909053745,0.01614683475418785
12,4987.438364850789,4871.659170873758,0.0063089806670429075
13,11003.594484165584,10596.29115481738,0.004084513410675888
22,3461.958278243986,3469.548157762245,0.00968289960210653
23,2963.3840931547884,2990.505879933494,0.01869069067961168
30,2309.191307642702,2289.9835503985864,0.014670536157536157
25,3716.6960640081593,3643.395276910848,0.022891621903350364
29,1680.443481645522,1675.238874986255,0.033365164342819754
26,4027.572764799749,3934.955620169298,0.021195468303631667
32,6679.757481276805,6557.037016488907,0.010189864037071023
27,3736.6888412759895,3662.2449626023235,0.02277379803240438
24,3864.7739965248284,3782.70817999386,0.022048549122716365
33,4426.9611927093165,4398.641245868052,0.01518998980579015
31,3735.2796802363737,3660.916776509005,0.022782060400462777
28,6131.565894899554,6097.703861016577,0.01367780873333378
34,6809.482881676824,6678.856544880034,0.01000400521183285
35,2037.800360069188,2049.403942791692,0.03260231635596844
39,3166.0689997932004,3156.621145026832,0.007214183881806903
41,395.6432842482861,394.6294151561744,0.06568581026099225
36,6232.157230079491,6134.364494905851,0.010891970266773212
42,1427.2339665431052,1404.6589707851028,0.018453983085208604
43,425.4336019806303,424.2462249600694,0.06110025584740225
44,647.2877723656583,657.8970115761981,0.039400624157345875
45,342.5671684173739,341.88847543145624,0.06660781810994086
40,540.433291517078,538.3914172821416,0.04814629664456694
38,7725.305700159121,7528.058370451026,0.009571481622457571
37,1987.9443805822873,1928.227581355431,0.03465115649735522
47,420.3604221986466,419.2035018219267,0.06183524892968576
46,609.2197723847876,606.510995540319,0.11880192259559771
48,1348.1337390182762,1337.0712523636187,0.039620474296528436
49,1562.3930085386532,1546.560811353811,0.03425367874188331
52,1369.2000370438027,1357.7165656390832,0.039018009006882876
50,1313.3215969694331,1302.9333742230895,0.04065856185354673
51,3492.6520989186015,3343.927142161263,0.01584227016162216
53,2182.137003469386,2181.070176418726,0.02428871741939289
54,1494.391342975212,1479.805618958861,0.03896570891626695
55,1482.8139500748828,1468.7740415845099,0.04771445266605228
56,7380.277512600283,7151.031472658495,0.010549970681047715
58,3806.07361259876,3776.020811926745,0.019979543581302748
57,9744.110242650753,9201.004106360717,0.008199449919128087
59,9084.00288804975,8649.105770606562,0.008722655772367293
60,5055.159467362344,4569.957967534518,0.016508504654036898
61,8659.241060665872,8284.802827161326,0.008459072707747586
